ohne,n_zellen,S1,S1_z,S1_p,S1_mde80,S2_z,S3a_z,S3b_z,nziehungen
-- (alle),7,0.3488606447112863,2.9814357794970685,0.0039980009995002,0.3442973698714048,3.705076908958623,10.604351793099848,4.16562853534723,2000
GSE218101_Line4_chondr,6,0.4405413147312187,3.8227267556193,0.000999500249875,0.4083622527251339,4.739374785134364,10.068906496107978,4.39949332587107,2000
SERPINA3_D1_chondr,6,0.3537185807805155,2.951197907835021,0.0029985007496251,0.3497085837054785,3.219007474566051,11.112733080896945,3.9843010286995537,2000
SERPINA3_D2_chondr,6,0.3182820158337713,2.8682828781163536,0.0069965017491254,0.3165265202992922,2.961482284672401,10.858111462986749,4.0273998475379,2000
SERPINA3_D3_chondr,6,0.3325206185437671,2.139516595853754,0.0359820089955022,0.3493578298521228,2.8575912891899837,10.96647949224911,3.731059625154612,2000
SERPINA3_D1_osteog,6,0.3103948814082328,2.1775252801992555,0.0289855072463768,0.3276880559855991,1.6947909959986889,9.808357764551973,2.9464238828784035,2000
SERPINA3_D2_osteog,6,0.3394428293565905,2.466039241383468,0.0079960019990005,0.3486406348529422,2.854288054883928,10.190970559251816,3.820978122349179,2000
LAMA5_USC_chondr,6,0.3527861393607576,2.432576696855976,0.0149925037481259,0.3635340961248925,3.2172554974045986,8.97777799734405,2.985721948343593,2000
